Name,Photo,URL,Submitted by,Why I like it,Welfie Teen Council,Associated with School / District,Sourced from (School Districts etc.),Jared's Rating,Jared's Review,Audrea's Review,Audrea's Rating copy,Elisabeth's Rating,Elisabeth's Review,Luis' Rating,Luis' Review,Jackie's Rating,Jackie's Review,Pam's Review,Pam's Rating,Susan's Review,Susan's Rating,Nneka's Review,Nneka's Ratings,Nicole's Review,Nicole's Rating,Gillians Rating,Gillian's Review,Teachers or Teens,Welfie Review,Welfie Rating,Letter Grade,Welfie Video Review,Their Featured Video,Type of Resources,Health Awareness Month,Medium(s),Social Media,Target Community,Target Audience,Commonly Used Language,Clinical Diagnosis (DSM-V),Type of Organization,Pricing Page,Pros,Cons,Affordability Rating,LGBTQ+ Friendly,Tech. Equity,Rated by Teens,Typeform rating,Racial/Ethnic Focus,Gender Focus,Geographic Focus,When to Use,Therapy Services,Health Service Providers,Emotional Wheel,Conflicts of Interest,ZIP,CITY,COUNTY,STATE,Type of Medicine,Approvals,Covered By,Similar to,Rate & Review URL,RATE ME,Finalized By,Created By,Last Modified By,Created Time,Presented by,FIND OUT MORE,Share,Share with a Friend,Vetted?,Health Ed,Lesson,Field 73,Personalize Form,Get Personal Health Content
HOW THIS WORKS,Mental Health Thumbnail (1).png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/_MR_uuqjwOYRuNQgAWNCXg/9Pu3V4WHwudbRxTtF20SfmAdyZvXI2gQ5IxGqywjLiCKUJzzDmwjfwrcA0TI3tHu7sy82uUZgiO7WvU6UawFRGF6vhGZ-SJUyxgjTEVT49GI-wC1ASl9hk-eu6iQKNTg/yD5NzroI5ERQmMDZVFYI5vOh-hb2ELY2dGFvUulk2H0),https://www.welfie.com/mentalhealth,Steven Moyo,,5,,,5,"Ang welfie.com sa pag basa ko ng website nila, nakita ko ang potential nila sa pag tulog ng mga estudyante at ang mga magulang sa mental health journey nila. Marami silang resources sa pag tulog tungkol sa mental health. Nagbibigay sila ng all-in-one platform sa pag tulong ng mga tao sa mental health para insang website nalang ang pupuntahan, pero inaadvertise nila ang mga ibang website na nakakatulog din.",,,,,,,,,,3,,5,,5,,5,5,,,We’ve been working hard to bring teens the tools that they need to live happy healthy lives. We are putting together a Mental Health Guide like no other. Built by and for teens. With a little help from health professionals like us. And guess what? You can get in on the fun too… Click below to add a mental health resource to our guide.,5,A+,,,Digital,,Website,"TikTok,Instagram,Facebook","Family,School,Business,Community Based Organizations","Young Adult: 17-21,Adult: 21+,Highschool: 9-12",Mental Health,Not applicable,For Profit,,"Equity Focused,Accepts Insurance",On-line only,4,4,4,4,5,None,None,Suburban,Preventive,No,"Psychologists,Doctors",Happy,None,,San Diego,San Diego,California,"Non-Pharmaceutical,Alternative Medicine",,"Cigna,Medicare,Tricare,United Health Group",Ginger,https://welfie.typeform.com/to/vKA3r3C9,https://welfie.typeform.com/to/vKA3r3C9,Dr. Steven Moyo,Anonymous,Jared Pueblo,6/14/2021 11:55 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.welfie.com/mentalhealth,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,YES,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Well Online,Gmail+180x180-01.jpeg (https://v5.airtableusercontent.com/v1/19/19/1689739200000/O5sCFecQvcMPhNLP9H-dKA/B2TMXT6pUDJSvTVmVFNKg6BxkPzJjQcIo4fdV5lKh3LNgt3IULN5jxpdqspqhYdf0bjmKYvKeWuqw1T1qXNVdvQXu5CCGwFkgTxswFTmDww/38xKSHKFeI0xx0dZqVVew5NI9AneQwHG3m0cPEUUVj0),https://www.wellonline.com/faq,Steven Moyo,SD Based company. Could be a good Telehealth point resource for people we identify needing help. We can ask about insurance and if they have it show the covered prices.,5,,,3,"Ang Well Online ay magandang website na tumutulog sa 
pamayanan tungkol sa pag hahanap ng mga mapagkukunan para sa mental health. ",I appreciate that its focus is on CA residents and that its based in SD.,3,4,"Their core values caught my attention immediately. Very welcoming to anyone regardless of their background. They are also very empathic, which is crucial for mental health support. Also, I love that they included the three steps to getting started on their front page. Some may hesitate to reach out due to the tedious process they need to get started - Well Online looks seamless and promising.",3,"I like how this website talks about overcoming the stigma around mental health and are willing to work around barriers so that people can receive the help that they need,",4,"I really liked the clean, organized structure of the website. I liked how it is very individualistic and inclusive at the same time. I also like how it addresses all the issues and needs one may have and how it makes it very simple to get started.","Like the integrated care. Benefit is that it accepts some insurance companies to help lower costs. However, if paying out of pocket then it is the same as getting a psychologist in the community. Providers provide EBPs. ",4,,4,,3,,,4,This website offers easy access to therapy while dealing with many different mental illnesses or even just wanting someone to talk to. It does not try to change its wording when talking to teens; it is very straightforward and does not try to sugarcoat anything.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",4,,,,Digital,,Website,,"Family,School,Business,Community Based Organizations","Young Adult: 17-21,Adult: 21+,Highschool: 9-12",,,For Profit,,"Equity Focused,Accepts Insurance",On-line only,3,2,2,4,,None,None,Suburban,,,,,None,,San Diego,San Diego,California,,,"Cigna,Medicare,Tricare,United Health Group",Ginger,https://welfie.typeform.com/to/vKA3r3C9,https://welfie.typeform.com/to/vKA3r3C9,,WELFIE,WELFIE,7/11/2021 7:24 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.wellonline.com/faq,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Woebot,Woebot-Health-Logo_Standard.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/Xw30Uziy2l-sQLsJvSPxYQ/0qXdGlzrG0Ox9jHv8mWaWcGQb7X7lyg9Kj3_oZkcJnNrVam_OjqPUVIS8AE_Lq0anrAyE09jwZA4WUDKvlevHmBc1n73oENF6wiAM3C4CRnntzqRvB3txk5M-QDo_YHV/UuDZgRGuSGOU3rjBaEoH9tqZIUKQKY3uMs6J9o5S9Xk),https://woebothealth.com/,Steven Moyo,Appears to be clinically validated: https://woebothealth.com/clinical-results/,5,,,4,"Ang Woebot.com ay isang website na muhkang reliable kasi nag provide sila ng mga ratings at meron sila mga istoria na ibinigay. Ayun lang ang sa pag user friendly sa user interface nila, medyo nasa scientific side sila kaya hindi ako masyado na attract kaya kung ang goal nila ay mag attract sila ng mga may gusto mag basa at ","I felt sort of confused on whether I could download Woebut for immediate use or if it was just explaining the concept behind it. Other than that, the specified tools being used for each kind of individual is what I find to be most helpful.
",2,2,"Lots of scientific evidence on their page, which is a plus. However, their website was a little complex for me to navigate through (we need to think about our audience: K-12). Their app looks like there's potential for Welfie's members to benefit from. However, the app seems to be similar to where Welfie's app may be headed.",4,"I feel that WoeBot seems pretty reliable as it provides results along with their data. Along with the overview, a closer look at the app helps me see WoeBot as a reliable source of help.",4,I really like this website because often times people may feel intimidated by human interaction and feel like this is a great tool for introverts.,Research to show that the platform is scientifically helpful or demonstrates improvement in symptoms. Not therapy but utilize CBT which is the EBT for depression and anxiety. Meant to utilize with therapy and not to substitute for therapy.,4,,,,,,,5,"This app helps put your mental health in your hands. You can use it as much or as little as you want, but it provides a safe place to discuss your emotions with the AI Woebot. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",3,,,,Digital,,SMS,,,"K-12,Young Adult: 17-21,Adult: 21+",,,,,,,2,3,3,,,,,,,,,,None,,,,,,,,,,,,Anonymous,Jackie Mendez,6/29/2021 9:21 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://woebothealth.com/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Ginger,Screen Shot 2021-07-01 at 11.00.06 PM.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/OIjHxlr_z8-BwW6CTXUA-w/m1OYQGbu5sgkTdLdfUdVEsik8KxP98FYcEKVN99eELMRLII8jNJpfVN7tR6NoKsarG_k2oZpc6y_mXbMuhwab21mtMQ-Qhie5mkaEbZTFvjwF5MpAjl94mhvApNP-3Ed/NIamY_D139PCH3Nn0bFtSR9ZOw78V2PtlVYD368bsAM),https://www.ginger.com/,Steven Moyo,,3,,,2,"Ang Ginger.com ay isang mental health website na tumutulog 
sa pamamagitan ng Internet. Yung unang pagkita ko ng website, nakaka attract sya ng mga tao dahil sa kulay pero medyo nahihirapan ako sa pag hanap ng mga resources para makatulog sa mentall health. ",I find this website to be straight to the point. Seeing that there's an app and 24/7 support on standby made me want to download it.,4,4,"Ginger seems to be an all-in-one app and has almost everything a user needs to ensure they receive the mental health guidance they need. Especially when it comes to youths, I'm sure they can benefit from the seamless accessibility. And they're partnered with Headspace, which is a plus for me!",4,The way that people are able to connect to experienced coaches and have one on one conversations with them would really help people feel less afraid of wanting to seek help.,4,I really enjoyed Ginger because it felt very inclusive and safe. It has both options for people who prefer either more communicative sessions and those who prefer over text.,Accessible at any time. People get matched with a behavioral health coach day to day and you can add a therapist. Licensed therapists and psychiatrist. Cigna allows access to ginger but not sure about any other insurance coverage or price.,1,,,,,,,4,"Although this resource is for companies wanting to provide mental health care to their workers, Ginger offers many different levels of support for its users which is extremely impressive. The website also offers some free tips regarding mental health wellness. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",5,,,,,,,,,,,,,,,,1,3,3,,,,,,On Demand Treatment,Yes,,,None,,,,,"Non-Pharmaceutical,Western Medicine",,,HOW THIS WORKS,,,,WELFIE,Aiden Griner,7/1/2021 10:57 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.ginger.com/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Trevor Space,Screen Shot 2021-07-01 at 11.03.33 PM.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/Amjop7xICgiQ9qOBB1s8MA/2CV-Cr8go5qkzcueNPLQc5KebXgFl8P9fovk37pWSaYuxXDCwvvQeY7EGIAGf9LkUG5N5XpyJs6qcgKGU5lrQzcT9ip6tmFJ8hb3Udw-HxbDYYsqBp3Rz3hL5Yq9xUCD/ynvZ2DtXe3H4cHZBHFYIFMft9tOPiLYwR90a0Tvgks4),https://www.trevorspace.org/,Steven Moyo,,4,,,3,"Ang focus ng trevorspace.com, ay para sa mga LGBTQ+ community at ito naman ay mag aatract sa mga members ng LGBTQ+ kasi wala masyadong mga mental health serbisyo para sa itong community. ",This is another straightforward website. I could see LGBTQIA+ teens using this to find friends since there's not many sites like this.,4,5,"I'm all for user-generated forums that allow community members to build amongst one another. I love that Trevor Space allows its users to not only have a safe space to come to but a safe space to come to with others who can relate to them. This international resource is catered for members aged 13-24, which also overlaps with our target audience. ",5,I think that the way this website is aimed towards the LGBTQ+ community is very helpful as I feel that there are not lots of websites like these especially when it comes to mental health.,3,"Trevor Space, while its very straight forward and clean as well as inclusive, it provides no background info about the creators and really how the sessions feel as an environment, you really have to go and experience it on your own.",Great that it is for the LGBTQ+ community. Not much is known on the website. Does not give you an idea as to pricing or how it work specifically.,2,,,,,,,4,This is a really great resource for teens within the LGBTQ+ community to interact and communicate with each other. This space is peer run which has both positive and negative implications.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",3,,,,Digital,,Website,,"Family,School","K-12,Young Adult: 17-21",,Not applicable,,,,,4,4,3,,,None,All of the above,,Health Promotion,,,,,,,,,,,,,,,,WELFIE,Jackie Mendez,7/1/2021 11:02 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.trevorspace.org/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
7 Cups,7_Cups__What_is_Psychology (https://v5.airtableusercontent.com/v1/19/19/1689739200000/cGYwyvUJYZu1fIiLeiGm0A/GAILPp37BFNaoZEL3mVXZc3fG1jR2vP5CURBfg34FfSOiw7aI-nXtcivEa3f953d9sYIJUA4Gi_SYGcln51WRWPIND3yhfB7_xulYGzfikiVCIqzYeh10nfhJfSd3AdE/o7fCU2pQcGgq2T_oiqgZ1ylgBF-uuJhd3tZMSSfitxs),https://www.7cups.com/,Pamela Lorenzo,,2,,,,,Campfire scenery made me want to be interactive. I feel this website is accessible and easy to understand.,3,4,This would be a great resource to include! It's affordable and allows users to stay anonymous. Many individuals seeking therapy can definitely benefit from this resource and support.,4,"I think that the messages that appear in the background are in a way comforting, as new users may have the same thoughts and will want to seek help. 
",4,"7 cups really gives the feel that you are not alone. It starts off with a free chat sessions with volunteer listeners, which shows people care. And also includes affordable online therapy for those who need it.",Get different levels of communication with active listeners (available 24/7) and therapists. App available. Started by an SD psychologist and scientifically validated. Has information for various disorders. Same price as seeing a psychologist in the community.,4,,,,,,,5,This website offers both free counseling and affordable therapy sessions. It helps make mental health resources much more accessible and allows people to choose how much help they want to receive.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,https://youtu.be/RD5m7RE3guw,Digital,,"Website,Mobile App",,"Business,School","Adult: 21+,Young Adult: 17-21","Mental Health,stress,Depression,Anxiety",Not applicable,For Profit,https://www.7cups.com/solutions/studentsupport/,Equity Focused,On-line only,3,2,2,,,None,None,Suburban,"On Demand Treatment,Preventive,Health Promotion",Yes,"volunteers,Therapists",,,,,,,Non-Pharmaceutical,,,,,,,sa as,Aiden Griner,7/6/2021 12:19 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.7cups.com/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Betterhelp,BetterHelp_Review_Quickly_Chat_With_an_Online_Therapist_via_Video_... (https://v5.airtableusercontent.com/v1/19/19/1689739200000/rtKQbwYXplLIt4_AAynH0w/kIRCtxh7V7Ky2UztIO9AUpUIVPX8tmgm3qDrAajMxKiaYmO6ojaRE7jjyDGJ2nVY5d04k-CevTdC8sBwORdoqJSFTDINGVNhrV7XuQKSn4TKGT0f_kVyv9hMamEZmp9N-11pKKRvAOkmTLOnRvRcIU6jxzwmjdLbKjSQAQihzGs/p2SONO9ek1LI7fOw6eHPnOOCgVH2zeEYmkjKCcXyzOw),https://www.betterhelp.com/about/,Pamela Lorenzo,,,,,4,Itong betterhelp.com ay nakaka appeal para sa may mga pinapagdaanan sa buhay. Pwede nila basahin ang mga experience ng ibang tao para maka relate sila sa mga pinagdaanan ng mga ibang tao. Very personal ang mga istorya na ibinigay nila at nakaka relate talaga sa mga tao nagbabasa.,,,3,"Betterhelp allows individuals to pick what exactly it is that they need support on (stress, anxiety, depression, eating disorders, etc) which I find intriguing. Having someone who's an expertise within that area can be more beneficial.",3,The home page is very informational and welcoming. I think that including some success stories is a good way of convincing people to want to look for more help.,3,"I really like the idea that Better Help was trying to execute. It seems very helpful in the communities that need help together. However, it doesn't seem individual friendly. ",Not only are the therapist licensed but also go through an extended interview process (case vignettes and oral test) in order to be vetted. More cost effective of 60-90 dollars a session. One of the lower costs I have seen from a platform.,4,,,,,,,2,This resource that provides online mental health counseling sessions is not for underaged people which excludes most teens.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,"Website,Mobile App",Facebook,Family,"Adult: 21+,Highschool: 9-12,Young Adult: 17-21","Mental Health,Anxiety,Depression",,For Profit,https://www.betterhelp.com/#,Equity Focused,"On-line only,No Insurance",3,2,,,,None,None,Suburban,"Preventive,Health Promotion",Yes,Therapists,,,94041,Mountain View,Santa Clara,California,Non-Pharmaceutical,,,,,,,sa as,Jackie Mendez,7/6/2021 3:27 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.betterhelp.com/about/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Talk Space,Talkspace_Announces_First_University_Partnership_with_Williams_College (https://v5.airtableusercontent.com/v1/19/19/1689739200000/gqqzRvLeQKzGHkufrGdruw/HMcxl4PBDpww2tMUxtA0VPGJqmH_gLo7PuuVtC0Ld4D8kminmQC_ag2k_RiYW-b7ntliWctMJ7Dx246280MLNsOV7cW7lBfoONxWmZblNtxvZ3tV3jGH3i7S7OkAXtHYMbTfFhn1brQR5WJ4ojz3-mmqbD1dKdzMhBwcMm3LDa8/CJfYTIy_x6nMs1mCgCAlsVV3hdlMHw1gVmX8y3kCDKs),https://www.talkspace.com/?_ga=2.68059416.806633698.1625611158-1941060638.1625611158&_gac=1.79765989.1625611159.CjwKCAjw_o-HBhAsEiwANqYhp3lz1UR92--lvhEdbo_xI9mFm1r0llOkotaODgaY2hn8JkEaI_2KABoC5_AQAvD_BwE,Pamela Lorenzo,,,,,,,,,,,,,4,I really liked how Talk Space tries it's best to have a more client centered and bases its therapy sessions on their own needs. I also really like the different types of therapy sessions one can choose from.,"Subscription service. Does not tell you how much unless you sign up. Therapy sessions are only 30 minutes. Insurance may cover the cost. Anxiety, depression, BD, OCD, PTSD, Social Anxiety, Panic Disorder, BPD, Insomnia and postpartum Depression. Student discount. ",3,,,,,,,5,"This resource provides therapy for a wide range of ages and mental health illnesses. It also provides different options in terms of video chats, calls, or texts which allows patients to determine how much personal interaction they have with their therapists. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,"Website,Mobile App","Facebook,Instagram","Family,Business","Highschool: 9-12,Young Adult: 17-21,Adult: 21+","Mental Health,Anxiety,Depression",,For Profit,,Equity Focused,On-line only,3,3,2,,,None,None,,"Preventive,Health Promotion",Yes,"Therapists,Psychiatrist",,,10025,New York,New York,New York,"Non-Pharmaceutical,Pharmaceutical","FSA,HIPPA",Cigna,,,,,sa as,Jackie Mendez,7/6/2021 3:39 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.talkspace.com/?_ga=2.68059416.806633698.1625611158-1941060638.1625611158&_gac=1.79765989.1625611159.CjwKCAjw_o-HBhAsEiwANqYhp3lz1UR92--lvhEdbo_xI9mFm1r0llOkotaODgaY2hn8JkEaI_2KABoC5_AQAvD_BwE,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
SHARING IS CARING,share with a friend.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/-Zw1UuJrBVS86J7wVUHS-Q/4tujff9o5csBA50FODP0fSSZN-Gfx9xbg0qoRSamhv4Bc5HKBMeHvoDjPKQrcVqwzt5X-MWI9HZvtdp2HcWMTAiDJNKBZVWNzBhcwkruxME/aUVKxptAhB0Sh__R58Q2WwvF_wDklvuRFGbSFI1vgME),https://welfie.typeform.com/to/fI4Rlemr,,,,,,,,,,,,,,,,,,,,,,,,,,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sa as,Jackie Mendez,7/7/2021 9:06 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,YES,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Kelty Mental Health Resources,Where_You_Are_Podcast__Kelty_Mental_Health (https://v5.airtableusercontent.com/v1/19/19/1689739200000/946JRl8MbSPbz8iJ3_VuPw/1JWKkwp6LvwLzCBmP2p4sHeSxM0WxHgjLfdreAD26Ea7UNh-__l0szNpAx0900zbY6cxYH_1gUrn90FXNvXO-xQSjx7mlE3XVmpNT9GusaIhHhFuraSFQcBLeIxe_0ifmFKsgAIgrPku0fI9ATYbLQ/1WxMEvDT3Q-BJQsI2EpVOBb6Jzrk86OouGDGIua7hrk),https://keltymentalhealth.ca/medication-therapy/types-therapy,Sophia Herrera,,,,,,,"This resource stands out to me because right when you click it, once you scroll down it's describing the different types of therapy. Just the word therapy can have a stigma behind it so I think this will give some teens an idea of how they want to be helped and help them become open to the idea of support in general. ",5,,,,,5,Kelty Mental Health Resource Center is a great tool to use if you are unsure about your mental health. I love how it gives you tips and tools to use to help you out such as stress and sleep.,"Good resources in terms of information not only about mental health but about healthy living. They have information about medications for types of disorders; however, this information might be a little too scientific/medical for people to understand. I like the Types of Therapy so people can see what may help them when looking for a psychologist. The thing to note that this is not an exhaustive list. It just has the common types of therapy. The concern I have is for the information and statistics for the Challenges and Disorders section. No research citations and the statistics I have seen are different but I am not sure if they are showing Canadian numbers, worldwide numbers, US, etc. I would be a little cautious when reading some of the statistics. ",3,,,,,,,4,"This resource talks about different types of therapy and provides a wide range of resources about mental health. The resources are easily accessible, but the treatment is only in person.  ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,https://youtu.be/XskmoTtJAac,Digital,,"Website,Social Media,Mobile App","Facebook,Instagram,podcast,youtube",Family,K-12,"Mental Health,eating disorder,Depression","General Anxiety Disorder,Suicidal Thoughts",,,"Equity Focused,Family Centric",On-line only,4,2,3,,,None,None,Suburban,"Preventive,Health Promotion",No,"Doctors,volunteers",,,631,Vancouver,,British Columbia,"Non-Pharmaceutical,Pharmaceutical,Western Medicine",,,,,,,WELFIE,Jackie Mendez,7/11/2021 7:46 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://keltymentalhealth.ca/medication-therapy/types-therapy,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
